date,cash_deposits_abroad_bn,fx_reserves_bn,fx_reserves_months_import,implied_monthly_imports_bn,import_need_3m_bn,import_need_6m_bn,clc_real_3m,clc_real_6m,clc_real_3m_state,clc_real_6m_state,source
2021-12-31,76.34717494894487,128.2778,4.97,25.81042253521127,77.4312676056338,154.8625352112676,0.9859992908522388,0.4929996454261194,below_cliff,below_cliff,CEIC implied imports from FX reserves/months of imports; CBUAE cash/deposits abroad from Table 6
2022-12-31,85.4496936691627,134.62210000000002,4.39,30.66562642369021,91.99687927107063,183.99375854214125,0.9288325250401537,0.46441626252007684,below_cliff,below_cliff,CEIC implied imports from FX reserves/months of imports; CBUAE cash/deposits abroad from Table 6
2023-12-31,120.77876106194692,185.0421,5.15,35.930504854368934,107.7915145631068,215.5830291262136,1.120484868883039,0.5602424344415196,above_cliff,below_cliff,CEIC implied imports from FX reserves/months of imports; CBUAE cash/deposits abroad from Table 6
2024-03-31,133.2705241660994,198.3837,5.4,36.73772222222222,110.21316666666665,220.4263333333333,1.2092069232451,0.60460346162255,above_cliff,below_cliff,CEIC implied imports from FX reserves/months of imports; CBUAE cash/deposits abroad from Table 6
2024-06-30,145.3998638529612,204.6467,5.96,34.336694630872486,103.01008389261746,206.02016778523492,1.4115109740569947,0.7057554870284973,above_cliff,below_cliff,CEIC implied imports from FX reserves/months of imports; CBUAE cash/deposits abroad from Table 6
2024-09-30,158.68618107556162,221.064,5.82,37.983505154639175,113.95051546391753,227.90103092783505,1.3925885322195815,0.6962942661097907,above_cliff,below_cliff,CEIC implied imports from FX reserves/months of imports; CBUAE cash/deposits abroad from Table 6
2024-12-31,158.41252552756978,232.3124,5.7,40.75656140350877,122.26968421052631,244.53936842105261,1.295599367499895,0.6477996837499475,above_cliff,below_cliff,CEIC implied imports from FX reserves/months of imports; CBUAE cash/deposits abroad from Table 6
2025-03-31,127.01130020422056,243.7344,6.29,38.749507154213035,116.2485214626391,232.4970429252782,1.09258422048009,0.546292110240045,above_cliff,below_cliff,CEIC implied imports from FX reserves/months of imports; CBUAE cash/deposits abroad from Table 6
2025-06-30,113.90360789652826,243.7344,6.29,38.749507154213035,116.2485214626391,232.4970429252782,0.9798284439526014,0.4899142219763007,below_cliff,below_cliff,CEIC implied imports from FX reserves/months of imports; CBUAE cash/deposits abroad from Table 6
2025-09-30,93.69748127978217,243.7344,6.29,38.749507154213035,116.2485214626391,232.4970429252782,0.8060100902865713,0.40300504514328567,below_cliff,below_cliff,CEIC implied imports from FX reserves/months of imports; CBUAE cash/deposits abroad from Table 6
2025-12-31,91.64757412797267,243.7344,6.29,38.749507154213035,116.2485214626391,232.4970429252782,0.7883762561008324,0.3941881280504162,below_cliff,below_cliff,CEIC implied imports from FX reserves/months of imports; CBUAE cash/deposits abroad from Table 6
2026-01-31,77.73859768550034,243.7344,6.29,38.749507154213035,116.2485214626391,232.4970429252782,0.668727625155083,0.3343638125775415,below_cliff,below_cliff,CEIC implied imports from FX reserves/months of imports; CBUAE cash/deposits abroad from Table 6
2026-02-28,73.64710687542546,243.7344,6.29,38.749507154213035,116.2485214626391,232.4970429252782,0.6335315576387333,0.31676577881936663,below_cliff,below_cliff,CEIC implied imports from FX reserves/months of imports; CBUAE cash/deposits abroad from Table 6
